creation, wall_1, wall, java.awt.Point[x=0,y=0], NORTH
creation, wall_2, wall, java.awt.Point[x=1,y=0], NORTH
creation, wall_3, wall, java.awt.Point[x=2,y=0], NORTH
creation, wall_4, wall, java.awt.Point[x=3,y=0], NORTH
creation, wall_5, wall, java.awt.Point[x=4,y=0], NORTH
creation, wall_6, wall, java.awt.Point[x=5,y=0], NORTH
creation, wall_7, wall, java.awt.Point[x=6,y=0], NORTH
creation, wall_8, wall, java.awt.Point[x=7,y=0], NORTH
creation, wall_9, wall, java.awt.Point[x=8,y=0], NORTH
creation, wall_10, wall, java.awt.Point[x=9,y=0], NORTH
creation, wall_11, wall, java.awt.Point[x=10,y=0], NORTH
creation, wall_12, wall, java.awt.Point[x=11,y=0], NORTH
creation, wall_13, wall, java.awt.Point[x=12,y=0], NORTH
creation, wall_14, wall, java.awt.Point[x=13,y=0], NORTH
creation, wall_15, wall, java.awt.Point[x=14,y=0], NORTH
creation, wall_16, wall, java.awt.Point[x=15,y=0], NORTH
creation, wall_17, wall, java.awt.Point[x=16,y=0], NORTH
creation, wall_18, wall, java.awt.Point[x=17,y=0], NORTH
creation, wall_19, wall, java.awt.Point[x=0,y=1], NORTH
creation, empty_0, empty, java.awt.Point[x=1,y=1], NORTH
creation, empty_1, empty, java.awt.Point[x=2,y=1], NORTH
creation, empty_2, empty, java.awt.Point[x=3,y=1], NORTH
creation, small_fish_2, small fish, java.awt.Point[x=4,y=1], NORTH
creation, empty_3, empty, java.awt.Point[x=5,y=1], NORTH
creation, wall_20, wall, java.awt.Point[x=6,y=1], NORTH
creation, empty_4, empty, java.awt.Point[x=7,y=1], NORTH
creation, empty_5, empty, java.awt.Point[x=8,y=1], NORTH
creation, empty_6, empty, java.awt.Point[x=9,y=1], NORTH
creation, empty_7, empty, java.awt.Point[x=10,y=1], NORTH
creation, empty_8, empty, java.awt.Point[x=11,y=1], NORTH
creation, empty_9, empty, java.awt.Point[x=12,y=1], NORTH
creation, empty_10, empty, java.awt.Point[x=13,y=1], NORTH
creation, empty_11, empty, java.awt.Point[x=14,y=1], NORTH
creation, empty_12, empty, java.awt.Point[x=15,y=1], NORTH
creation, empty_13, empty, java.awt.Point[x=16,y=1], NORTH
creation, wall_21, wall, java.awt.Point[x=17,y=1], NORTH
creation, wall_22, wall, java.awt.Point[x=0,y=2], NORTH
creation, empty_14, empty, java.awt.Point[x=1,y=2], NORTH
creation, small_fish_14, small fish, java.awt.Point[x=2,y=2], NORTH
creation, empty_15, empty, java.awt.Point[x=3,y=2], NORTH
creation, wall_23, wall, java.awt.Point[x=4,y=2], NORTH
creation, empty_16, empty, java.awt.Point[x=5,y=2], NORTH
creation, empty_17, empty, java.awt.Point[x=6,y=2], NORTH
creation, empty_18, empty, java.awt.Point[x=7,y=2], NORTH
creation, empty_19, empty, java.awt.Point[x=8,y=2], NORTH
creation, empty_20, empty, java.awt.Point[x=9,y=2], NORTH
creation, empty_21, empty, java.awt.Point[x=10,y=2], NORTH
creation, wall_24, wall, java.awt.Point[x=11,y=2], NORTH
creation, empty_22, empty, java.awt.Point[x=12,y=2], NORTH
creation, empty_23, empty, java.awt.Point[x=13,y=2], NORTH
creation, empty_24, empty, java.awt.Point[x=14,y=2], NORTH
creation, small_fish_24, small fish, java.awt.Point[x=15,y=2], NORTH
creation, empty_25, empty, java.awt.Point[x=16,y=2], NORTH
creation, wall_25, wall, java.awt.Point[x=17,y=2], NORTH
creation, wall_26, wall, java.awt.Point[x=0,y=3], NORTH
creation, empty_26, empty, java.awt.Point[x=1,y=3], NORTH
